Date,item,open,high,low,close,adj_close,volume
2015-12-15,DB하이텍,"13,000","13,350","12,750","13,250","11,902","316,758"
2015-12-16,DB하이텍,"13,450","14,250","13,300","14,150","12,711","764,917"
2015-12-17,DB하이텍,"14,350","14,550","13,850","14,000","12,576","475,270"
2015-12-18,DB하이텍,"13,900","14,250","13,750","14,100","12,666","368,679"
2015-12-21,DB하이텍,"14,050","14,200","13,650","13,650","12,262","274,774"
2015-12-22,DB하이텍,"13,800","13,850","13,450","13,550","12,172","325,494"
2015-12-23,DB하이텍,"13,650","14,350","13,350","14,050","12,621","693,362"
2015-12-24,DB하이텍,"14,300","14,350","13,650","13,700","12,307","647,831"
2015-12-28,DB하이텍,"13,700","14,000","13,450","13,650","12,262","409,511"
2015-12-29,DB하이텍,"13,800","14,300","13,650","14,300","12,846","510,217"
2015-12-30,DB하이텍,"14,300","14,450","13,950","14,300","12,846","397,407"
2016-01-04,DB하이텍,"14,400","14,600","14,100","14,150","12,711","482,946"
2016-01-05,DB하이텍,"13,950","14,900","13,800","14,900","13,385","896,476"
2016-01-06,DB하이텍,"15,000","15,150","14,350","14,950","13,429","642,137"
2016-01-07,DB하이텍,"14,850","15,000","14,400","14,700","13,205","389,765"
2016-01-08,DB하이텍,"14,350","14,800","14,150","14,550","13,070","474,956"
2016-01-11,DB하이텍,"14,400","14,450","13,450","13,850","12,441","535,567"
2016-01-12,DB하이텍,"13,900","14,000","13,200","13,350","11,992","558,611"
2016-01-13,DB하이텍,"13,450","14,250","13,450","14,250","12,801","570,551"
2016-01-14,DB하이텍,"13,850","14,450","13,650","14,400","12,935","715,369"
2016-01-15,DB하이텍,"14,500","14,950","14,350","14,400","12,935","527,897"
2016-01-18,DB하이텍,"13,900","14,250","13,850","14,150","12,711","370,519"
2016-01-19,DB하이텍,"14,300","14,300","13,700","14,000","12,576","367,765"
2016-01-20,DB하이텍,"13,900","14,000","12,950","13,100","11,768","1,208,494"
2016-01-21,DB하이텍,"13,100","13,500","12,650","13,150","11,813","451,790"
2016-01-22,DB하이텍,"13,300","13,550","13,300","13,500","12,127","431,238"
2016-01-25,DB하이텍,"13,550","13,550","13,250","13,500","12,127","347,739"
2016-01-26,DB하이텍,"13,350","13,450","12,850","13,050","11,723","554,615"
2016-01-27,DB하이텍,"13,200","14,000","13,150","13,900","12,486","900,565"
2016-01-28,DB하이텍,"13,850","13,850","13,450","13,600","12,217","254,876"
2016-01-29,DB하이텍,"13,600","13,750","13,250","13,750","12,352","251,063"
2016-02-01,DB하이텍,"13,750","13,750","13,250","13,400","12,037","274,211"
2016-02-02,DB하이텍,"13,350","13,850","13,350","13,700","12,307","269,711"
2016-02-03,DB하이텍,"13,500","13,850","13,350","13,800","12,396","332,395"
2016-02-04,DB하이텍,"13,950","14,000","13,600","13,700","12,307","322,493"
2016-02-05,DB하이텍,"13,900","14,700","13,750","14,500","13,025","788,874"
2016-02-11,DB하이텍,"14,100","14,300","13,750","13,850","12,441","592,713"
2016-02-12,DB하이텍,"13,800","13,950","11,700","12,750","11,453","1,449,432"
2016-02-15,DB하이텍,"13,000","13,050","12,550","12,650","11,363","471,193"
2016-02-16,DB하이텍,"12,750","13,150","12,650","12,900","11,588","325,252"
2016-02-17,DB하이텍,"12,850","13,000","12,600","12,650","11,363","365,292"
2016-02-18,DB하이텍,"12,950","13,000","12,650","12,850","11,543","364,332"
2016-02-19,DB하이텍,"12,900","13,150","12,500","12,700","11,408","482,174"
2016-02-22,DB하이텍,"12,750","13,500","12,600","13,500","12,127","550,495"
2016-02-23,DB하이텍,"13,550","14,300","13,550","14,300","12,846","1,031,431"
2016-02-24,DB하이텍,"14,200","14,850","14,100","14,550","13,070","729,611"
2016-02-25,DB하이텍,"14,550","15,350","14,550","15,200","13,654","979,370"
2016-02-26,DB하이텍,"15,300","15,550","15,050","15,150","13,609","545,855"
2016-02-29,DB하이텍,"15,200","15,400","14,950","15,200","13,654","296,362"
2016-03-02,DB하이텍,"15,500","16,050","15,350","15,450","13,879","743,614"
2016-03-03,DB하이텍,"15,550","16,000","15,500","16,000","14,373","485,710"
2016-03-04,DB하이텍,"16,100","16,150","15,750","16,000","14,373","536,452"
2016-03-07,DB하이텍,"16,150","16,150","15,350","15,600","14,013","451,796"
2016-03-08,DB하이텍,"15,450","15,700","14,950","15,450","13,879","856,382"
2016-03-09,DB하이텍,"15,450","16,000","15,450","16,000","14,373","588,573"
2016-03-10,DB하이텍,"16,000","16,500","15,850","15,950","14,328","520,987"
2016-03-11,DB하이텍,"15,950","17,300","15,900","17,100","15,361","1,231,873"
2016-03-14,DB하이텍,"17,400","17,650","17,050","17,450","15,675","702,612"
2016-03-15,DB하이텍,"17,350","17,800","16,800","16,850","15,136","669,215"
2016-03-16,DB하이텍,"16,700","17,300","16,550","16,950","15,226","525,262"
